#arXiv:nucl-ex/0307022[nucl-ex]
#cen_low cen_high cen_mid Npart pi+ pi- K+ K- p pbar
0 5 2.5 351.4 286.4 24.2 281.8 22.8 48.9 6.3 45.7 5.2 18.4 2.6 13.5 1.8 
5 10 7.5 299.0 239.6 20.5 238.9 19.8 40.1 5.1 37.8 4.3 15.3 2.1 11.4 1.5 
10 15 12.5 253.9 204.6 18.0 198.2 16.7 33.7 4.3 31.1 3.5 12.8 1.8 9.5 1.3 
15 20 17.5 215.3 173.8 15.6 167.4 14.4 27.9 3.6 25.8 2.9 10.6 1.5 7.9 1.1 
20 30 25 166.6 130.3 12.4 127.3 11.6 20.6 2.6 19.1 2.2 8.1 1.1 5.9 0.8 
30 40 35 114.2 87.0 8.6 84.4 8.0 13.2 1.7 12.3 1.4 5.3 0.7 3.9 0.5 
40 50 45 74.4 54.9 5.6 52.9 5.2 8.0 0.8 7.4 0.6 3.2 0.5 2.4 0.3 
50 60 55 45.5 32.4 3.4 31.3 3.1 4.5 0.4 4.1 0.4 1.8 0.3 1.4 0.2 
60 70 65 25.7 17.0 1.8 16.3 1.6 2.2 0.2 2.0 0.1 0.93 0.15 0.71 0.12
70 80 75 13.4 7.9 0.8 7.7 0.7 0.89 0.09 0.88 0.09 0.40 0.07 0.29 0.05
80 90 85 6.3 4.0 0.4 3.9 0.3 0.44 0.04 0.42 0.04 0.21 0.04 0.15 0.02
