#arXiv:1603.04775
# cuts ?
# cent_low cent_high cent_mid val err
0.000000000000000000e+00 2.500000000000000000e+00 1.250000000000000000e+00 1.803000000000000000e+03 1.094577544078079399e+02
2.500000000000000000e+00 5.000000000000000000e+00 3.750000000000000000e+00 1.647000000000000000e+03 9.940824915468535039e+01
5.000000000000000000e+00 7.500000000000000000e+00 6.250000000000000000e+00 1.499000000000000000e+03 9.035485598461214352e+01
7.500000000000000000e+00 1.000000000000000000e+01 8.750000000000000000e+00 1.357000000000000000e+03 8.238931969618391804e+01
1.000000000000000000e+01 1.250000000000000000e+01 1.125000000000000000e+01 1.235000000000000000e+03 7.433034373659252481e+01
1.250000000000000000e+01 1.500000000000000000e+01 1.375000000000000000e+01 1.118000000000000000e+03 6.726812023536855634e+01
1.500000000000000000e+01 1.750000000000000000e+01 1.625000000000000000e+01 1.033000000000000000e+03 6.220128616033594682e+01
1.750000000000000000e+01 2.000000000000000000e+01 1.875000000000000000e+01 9.420000000000000000e+02 5.721887800367986898e+01
2.000000000000000000e+01 2.250000000000000000e+01 2.125000000000000000e+01 8.470000000000000000e+02 5.124451190127582834e+01
2.250000000000000000e+01 2.500000000000000000e+01 2.375000000000000000e+01 7.730000000000000000e+02 4.716990566028302112e+01
2.500000000000000000e+01 2.750000000000000000e+01 2.625000000000000000e+01 6.830000000000000000e+02 4.119465984809195902e+01
2.750000000000000000e+01 3.000000000000000000e+01 2.875000000000000000e+01 6.020000000000000000e+02 3.622154055254966920e+01
3.000000000000000000e+01 3.250000000000000000e+01 3.125000000000000000e+01 5.440000000000000000e+02 3.313608305156178346e+01
3.250000000000000000e+01 3.500000000000000000e+01 3.375000000000000000e+01 4.940000000000000000e+02 3.014962686336266984e+01
3.500000000000000000e+01 3.750000000000000000e+01 3.625000000000000000e+01 4.350000000000000000e+02 2.617250465660480074e+01
3.750000000000000000e+01 4.000000000000000000e+01 3.875000000000000000e+01 3.850000000000000000e+02 2.408318915758459156e+01
4.000000000000000000e+01 4.500000000000000000e+01 4.250000000000000000e+01 3.220000000000000000e+02 2.002498439450078749e+01
4.500000000000000000e+01 5.000000000000000000e+01 4.750000000000000000e+01 2.460000000000000000e+02 1.503329637837290811e+01
5.000000000000000000e+01 5.500000000000000000e+01 5.250000000000000000e+01 1.800000000000000000e+02 1.104536101718726115e+01
5.500000000000000000e+01 6.000000000000000000e+01 5.750000000000000000e+01 1.331999999999999886e+02 8.521150157109074641e+00
6.000000000000000000e+01 6.500000000000000000e+01 6.250000000000000000e+01 9.370000000000000284e+01 6.120457499239742027e+00
6.500000000000000000e+01 7.000000000000000000e+01 6.750000000000000000e+01 6.509999999999999432e+01 4.418144406874904284e+00
