#arXiv:1407.5530
#cuts ?
#cent_low cent_high cent_mid val err
0.000000000000000000e+00 5.000000000000000000e+00 2.500000000000000000e+00 9.253000000000000808e-03 6.840310873052480841e-04
5.000000000000000000e+00 1.000000000000000000e+01 7.500000000000000000e+00 1.086999999999999945e-02 7.826466086938598703e-04
1.000000000000000000e+01 1.500000000000000000e+01 1.250000000000000000e+01 1.248999999999999937e-02 6.814750131883045778e-04
1.500000000000000000e+01 2.000000000000000000e+01 1.750000000000000000e+01 1.413999999999999979e-02 7.407411802377400446e-04
2.000000000000000000e+01 2.500000000000000000e+01 2.250000000000000000e+01 1.570999999999999827e-02 7.915179232967500811e-04
2.500000000000000000e+01 3.000000000000000000e+01 2.750000000000000000e+01 1.739999999999999880e-02 8.452117796150264081e-04
3.000000000000000000e+01 3.500000000000000000e+01 3.250000000000000000e+01 1.944999999999999854e-02 9.125222752897596589e-04
3.500000000000000000e+01 4.000000000000000000e+01 3.750000000000000000e+01 2.173999999999999891e-02 9.887732498404272919e-04
4.000000000000000000e+01 4.500000000000000000e+01 4.250000000000000000e+01 2.421999999999999847e-02 1.072178185984027461e-03
4.500000000000000000e+01 5.000000000000000000e+01 4.750000000000000000e+01 2.716000000000000011e-02 1.176448918100569388e-03
5.000000000000000000e+01 5.500000000000000000e+01 5.250000000000000000e+01 3.036000000000000157e-02 1.293849188468269764e-03
5.500000000000000000e+01 6.000000000000000000e+01 5.750000000000000000e+01 3.411000000000000143e-02 1.439441363863078627e-03
