#arXiv:1512.06104
#cent_low cent_high cent_mid val err
0.000000000000000000e+00 2.500000000000000000e+00 1.250000000000000000e+00 2.035430000000000064e+03 5.244112222292730507e+01
2.500000000000000000e+00 5.000000000000000000e+00 3.750000000000000000e+00 1.850150000000000091e+03 5.524281853779729090e+01
5.000000000000000000e+00 7.500000000000000000e+00 6.250000000000000000e+00 1.666319999999999936e+03 4.790309488957889528e+01
7.500000000000000000e+00 1.000000000000000000e+01 8.750000000000000000e+00 1.505109999999999900e+03 4.372309458398387250e+01
1.000000000000000000e+01 2.000000000000000000e+01 1.500000000000000000e+01 1.180480000000000018e+03 3.118339301615525017e+01
2.000000000000000000e+01 3.000000000000000000e+01 2.500000000000000000e+01 7.864500000000000455e+02 2.044317000858722011e+01
3.000000000000000000e+01 4.000000000000000000e+01 3.500000000000000000e+01 5.116600000000000250e+02 1.520257872862364046e+01
4.000000000000000000e+01 5.000000000000000000e+01 4.500000000000000000e+01 3.181499999999999773e+02 1.227197213165023371e+01
5.000000000000000000e+01 6.000000000000000000e+01 5.500000000000000000e+01 1.833300000000000125e+02 8.071585965595609480e+00
6.000000000000000000e+01 7.000000000000000000e+01 6.500000000000000000e+01 9.626999999999999602e+01 5.811239110551208675e+00
